user_id,user_location,tweet_created_at,tweet_id,;;
3294215278,Bergamo,2021-01-07 16:54:00,1347224982405996544,;;
105482834,Milano,2021-01-07 16:54:02,1347224991750909952,;;
2196719777,Monza,2021-01-07 16:54:09,1347225018837716993,;;
412556755,Manila Bangkok Milano,2021-01-07 16:54:11,1347225027637358602,;;
477757835,pensionato,2021-01-07 16:54:23,1347225077495037952,;;
150664329,Gorizia,2021-01-07 16:54:26,1347225089079709696,;;
2259346508,Aosta Valley,2021-01-07 16:54:33,1347225119706521607,;;
1337366606033395712,Solaro Lombardia,2021-01-07 16:54:35,1347225128636207108,;;
344111812,280714♡ 211115♡,2021-01-07 16:54:43,1347225161439850498,;;
578325072,Palermo Sicilia,2021-01-07 16:54:48,1347225183736750082,;;
243563921,Padova,2021-01-07 16:54:54,1347225206604103682,;;
1252905490952183808,Cagliari Sardinia,2021-01-07 16:54:59,1347225230524211200,;;
505018519,Puglia Italia,2021-01-07 16:55:06,1347225257330020352,;;
480612566,roma,2021-01-07 16:55:14,1347225291178041350,;;
708320269522362370,Biella,2021-01-07 16:55:18,1347225309205188612,;;
412556755,Manila Bangkok Milano,2021-01-07 16:55:22,1347225324787032071,;;
